来源,代码,名称,现价,涨幅,成交 (万元),场内份额 (万份),场内新增 (万份),T-2净值,净值日期,T-1估值,估值日期,T-1溢价率,实时估值,实时溢价率,相关标的,T-1指数涨幅,申购费,申购状态,赎回费,赎回状态,管托费,基金公司,操作,相关标的/业绩比较
商品市场,501018,南方原油LOF,1.163,0.09%,1426.0,19879,233,1.1453,25-05-12,1.1539,25-05-13,0.79%,会员,会员,,,1.20%,限100,1.50%,开放赎回,1.20%,南方基金,,60%WTI+40%BRENT原油价格
商品市场,160723,嘉实原油LOF,1.305,0.77%,7276.44,16155,1316,1.3044,25-05-12,1.3174,25-05-13,-0.94%,会员,会员,,,1.20%,限100,1.50%,开放赎回,1.28%,嘉实基金,,WTI原油价格
商品市场,160719,嘉实黄金LOF,1.574,-1.25%,5165.46,16052,-42,1.593,25-05-12,1.591,25-05-13,-1.07%,会员,会员,,,0.80%,限100,1.50%,开放赎回,1.26%,嘉实基金,,伦敦金价格
商品市场,165513,中信保诚商品LOF,0.842,-0.94%,257.51,5940,-385,0.8465,25-05-12,0.8501,25-05-13,-0.95%,-,-,,,1.60%,开放申购,1.50%,开放赎回,2.05%,信诚基金,,标准普尔高盛商品总收益指数
商品市场,161815,抗通胀LOF,0.82,-0.24%,276.52,6409,-639,0.823,25-05-12,0.8298,25-05-13,-1.18%,-,-,,,1.60%,开放申购,1.50%,开放赎回,2.15%,银华基金,,标普高盛商品总指数
商品市场,160416,石油基金LOF,1.626,1.37%,2592.51,7050,-19,1.6333,25-05-12,1.6506,25-05-13,-1.49%,-,-,,,0.00%,限10,1.50%,开放赎回,1.00%,华安基金,,标普全球石油指数
商品市场,164701,黄金LOF,1.349,-1.10%,4503.28,21608,-170,1.364,25-05-12,1.3689,25-05-13,-1.45%,会员,会员,,,0.80%,限50,1.50%,开放赎回,1.20%,汇添富,,伦敦金价格
商品市场,162719,石油LOF,2.219,2.31%,2379.89,5466,-209,2.1983,25-05-12,2.2517,25-05-13,-1.45%,-,-,,,1.20%,限500,1.50%,开放赎回,1.20%,广发基金,,道琼斯美国石油开发与生产指数
商品市场,163208,全球油气能源LOF,0.965,1.37%,6868.09,5113,182,0.967,25-05-12,0.9794,25-05-13,-1.47%,-,-,,,1.50%,开放申购,1.50%,开放赎回,1.40%,诺安基金,,标普能源行业指数
商品市场,160216,国泰商品LOF,0.54,0.19%,360.13,11119,-140,0.544,25-05-12,0.5489,25-05-13,-1.62%,-,-,,,1.50%,开放申购,1.50%,开放赎回,1.85%,国泰基金,,国泰大宗商品配置指数
